17.4,12.2,24,0.001,5.5,4.2,1.4,7.5,26,54.3,14.4,24.4,8.1,515
17.6,12.6,24.3,0.001,6.8,4.1,1.4,6.6,21,51.6,14.4,20.7,8.2,510
17.3,12.1,23,0.001,8.8,6.2,1.8,10.8,35,68.9,14.5,25.4,10.7,525
13.6,10.1,15.4,30.5,5.3,3.8,1.2,11.8,79,89.4,14.5,15.2,6.8,525
14.4,10.1,20.6,15.5,6.6,4.4,1.7,11.3,48,83.8,14.5,18.9,11.1,525
14.6,9.8,20.9,0.001,6.8,5.1,1.8,11.6,51,83.3,14.6,21.8,11,525
18.7,11.1,25.6,0.001,7,4.4,1.6,10.1,29,63.1,14.6,25.1,11.2,550
20.7,14.5,26.1,0.001,6.6,3.9,1.7,11.8,36,58.3,14.6,25.6,12,580
20.1,13.2,27.3,0.001,6,4.1,1.3,12.7,33,65.6,14.6,24.7,11.3,585
18.1,15,23.1,0.001,5,3.9,1.3,13.5,61,75,14.7,20.4,12.5,570
18,12.2,25.5,0.001,5.1,4.1,1.1,14.1,45,80.3,14.7,21.1,11.2,555
15.5,14,17.8,1.6,6.2,4.1,2,13.6,77,88.9,14.7,18.7,13.4,565
13.7,12,15.9,1.5,5.6,3.6,2.1,12.2,83,91.1,14.7,18.2,12.7,585
14.3,11.1,20.5,0.1,6.4,4.5,2,11.8,65,85.9,14.7,21.4,11.7,585
15.5,13.5,18.1,9,6.5,4.4,1.3,13.6,78,88.9,14.7,17.6,14,595
20.2,14.3,26.1,0.001,5,4,1.4,13.3,39,67.1,14.7,22.7,12.2,600
17.4,15.8,21.1,3.5,8.1,5,2.3,14.5,68,83.6,14.7,21,15.4,660
18,14.7,24.1,0.001,5.4,4.3,2.1,14.2,56,80.4,14.7,23.6,15.3,660
18.5,15.3,24.8,0.001,7.7,5.4,1.4,15.2,52,82.1,14.7,22.4,15.3,660
19.3,15.2,27.5,0.001,6.3,4.3,1.4,15.2,36,79.5,14.7,24.1,16.2,660
14.5,10.8,17.3,1,7,4.1,2.1,12.8,83,89.5,14.7,18.1,11.1,690
14.3,13.3,16.7,3.5,7.3,3.9,2.3,12.8,83,91,14.7,19.4,14.6,690
13.9,12.7,15.3,1,5.2,3,1.4,12.3,83,90.6,14.7,17.5,13.9,710
17.2,13.5,22.8,0.1,5.1,3.7,1.6,14.9,71,87,14.7,21.2,14.7,740
21.3,14.8,29,0.001,6,4,1.8,16.2,36,75,14.7,26.4,16.5,780
